27/10/2021	12:56
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	15.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.980
Temperature (K):	294.0
Laser intensity (mW):	0.131075
Average Count rate  A (kHz):	248.4
Average Count rate  B (kHz):	233.0
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
1.250000E-8	0.002259
2.500000E-8	0.009007
3.750000E-8	-0.004811
5.000000E-8	-0.000182
6.250000E-8	-0.004719
7.500000E-8	-0.003176
8.750000E-8	-0.000136
1.000000E-7	-0.000113
1.125000E-7	0.001085
1.250000E-7	-0.003337
1.375000E-7	0.007441
1.500000E-7	0.004401
1.625000E-7	0.000279
1.750000E-7	-0.001471
1.875000E-7	0.008454
2.000000E-7	-0.002001
2.125000E-7	0.000716
2.375000E-7	-0.001587
2.625000E-7	-0.001356
2.875000E-7	0.003871
3.125000E-7	0.002478
3.375000E-7	0.000682
3.625000E-7	-0.001610
3.875000E-7	0.000958
4.125000E-7	-0.001143
4.625000E-7	-0.000717
5.125000E-7	0.001764
5.625000E-7	0.001010
6.125000E-7	-1.488307E-5
6.625000E-7	-0.001138
7.125000E-7	0.002507
7.625000E-7	0.001361
8.125000E-7	0.001030
9.125000E-7	0.000829
1.012500E-6	-0.000104
1.112500E-6	0.000498
1.212500E-6	0.001606
1.312500E-6	0.001799
1.412500E-6	0.004263
1.512500E-6	0.001255
1.612500E-6	0.002508
1.812500E-6	0.001223
2.012500E-6	-0.000293
2.212500E-6	0.001673
2.412500E-6	0.002389
2.612500E-6	0.003152
2.812500E-6	0.002393
3.012500E-6	0.000257
3.212500E-6	0.001865
3.612500E-6	0.000634
4.012500E-6	0.001288
4.412500E-6	0.000459
4.812500E-6	0.001230
5.212500E-6	0.000680
5.612500E-6	0.000391
6.012500E-6	0.000977
6.412500E-6	0.001638
7.212500E-6	0.000519
8.012500E-6	-0.000238
8.812500E-6	0.001817
9.612500E-6	0.000825
1.041250E-5	0.000527
1.121250E-5	0.001999
1.201250E-5	0.000539
1.281250E-5	0.000615
1.441250E-5	0.000613
1.601250E-5	0.001413
1.761250E-5	0.000697
1.921250E-5	0.000505
2.081250E-5	0.000476
2.241250E-5	0.000475
2.401250E-5	0.000525
2.561250E-5	0.000668
2.881250E-5	0.001177
3.201250E-5	0.001119
3.521250E-5	0.000977
3.841250E-5	0.001005
4.161250E-5	0.000611
4.481250E-5	0.001458
4.801250E-5	0.001723
5.121250E-5	0.001433
5.761250E-5	0.000923
6.401250E-5	0.000763
7.041250E-5	0.000602
7.681250E-5	0.000907
8.321250E-5	0.000994
8.961250E-5	0.000810
9.601250E-5	0.000666
0.000102	0.000760
0.000115	0.001069
0.000128	0.000998
0.000141	0.000580
0.000154	0.000947
0.000166	0.000781
0.000179	0.001059
0.000192	0.000941
0.000205	0.000791
0.000230	0.000805
0.000256	0.000945
0.000282	0.000921
0.000307	0.001046
0.000333	0.000897
0.000358	0.000856
0.000384	0.000916
0.000410	0.000913
0.000461	0.000923
0.000512	0.000864
0.000563	0.000901
0.000614	0.001095
0.000666	0.000905
0.000717	0.000965
0.000768	0.001008
0.000819	0.000982
0.000922	0.000887
0.001024	0.000897
0.001126	0.000968
0.001229	0.000937
0.001331	0.000972
0.001434	0.001015
0.001536	0.000974
0.001638	0.000916
0.001843	0.000990
0.002048	0.000910
0.002253	0.000990
0.002458	0.000950
0.002662	0.000974
0.002867	0.000965
0.003072	0.000957
0.003277	0.000903
0.003686	0.000899
0.004096	0.000908
0.004506	0.000962
0.004915	0.000931
