27/10/2021	13:05
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	90.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.969
Temperature (K):	294.5
Laser intensity (mW):	81.918000
Average Count rate  A (kHz):	7.5
Average Count rate  B (kHz):	7.6
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
1.250000E-8	-0.104935
2.500000E-8	0.107054
3.750000E-8	-0.152044
5.000000E-8	-0.152044
6.250000E-8	-0.057826
7.500000E-8	-0.034272
8.750000E-8	-0.104935
1.000000E-7	-0.246261
1.125000E-7	0.036391
1.250000E-7	0.107054
1.375000E-7	0.059945
1.500000E-7	0.012837
1.625000E-7	0.271934
1.750000E-7	-0.175598
1.875000E-7	0.083500
2.000000E-7	-0.104935
2.125000E-7	-0.022495
2.375000E-7	-0.010718
2.625000E-7	0.048168
2.875000E-7	0.024614
3.125000E-7	0.048168
3.375000E-7	-0.057826
3.625000E-7	-0.010718
3.875000E-7	0.059945
4.125000E-7	0.142385
4.625000E-7	0.059945
5.125000E-7	-0.034272
5.625000E-7	-0.146155
6.125000E-7	-0.034272
6.625000E-7	-0.063715
7.125000E-7	-0.040161
7.625000E-7	0.054057
8.125000E-7	0.009892
9.125000E-7	0.077611
1.012500E-6	0.015781
1.112500E-6	0.065834
1.212500E-6	-0.037216
1.312500E-6	0.168884
1.412500E-6	-0.037216
1.512500E-6	-0.048994
1.612500E-6	-0.006301
1.812500E-6	-0.015134
2.012500E-6	0.042280
2.212500E-6	0.033447
2.412500E-6	-0.021023
2.612500E-6	0.005476
2.812500E-6	-0.015134
3.012500E-6	0.067306
3.212500E-6	0.015781
3.612500E-6	0.012837
4.012500E-6	0.023142
4.412500E-6	-0.017342
4.812500E-6	-0.046049
5.212500E-6	-0.004829
5.612500E-6	-0.036480
6.012500E-6	0.005476
6.412500E-6	0.017989
7.212500E-6	-0.006669
8.012500E-6	-0.015502
8.812500E-6	-0.007773
9.612500E-6	-0.011822
1.041250E-5	0.019093
1.121250E-5	-0.033168
1.201250E-5	0.046328
1.281250E-5	0.025166
1.441250E-5	-0.007957
1.601250E-5	-0.020103
1.761250E-5	-0.000965
1.921250E-5	0.007500
2.081250E-5	0.011364
2.241250E-5	-0.017526
2.401250E-5	-0.002437
2.561250E-5	-0.009706
2.881250E-5	0.014861
3.201250E-5	0.011640
3.521250E-5	0.010536
3.841250E-5	0.004096
4.161250E-5	-0.003725
4.481250E-5	0.016057
4.801250E-5	0.003360
5.121250E-5	-0.000367
5.761250E-5	-0.002713
6.401250E-5	0.011410
7.041250E-5	0.017483
7.681250E-5	-0.009016
8.321250E-5	0.011732
8.961250E-5	0.011548
9.601250E-5	-0.000735
0.000102	-0.001678
0.000115	0.002071
0.000128	0.005018
0.000141	-0.003217
0.000154	-0.001262
0.000166	0.002718
0.000179	-0.001837
0.000192	-0.000963
0.000205	0.000429
0.000230	0.003315
0.000256	0.000109
0.000282	-0.000305
0.000307	-0.000742
0.000333	0.000546
0.000358	0.002135
0.000384	-0.001384
0.000410	-1.624806E-5
0.000461	0.006513
0.000512	0.003695
0.000563	0.000337
0.000614	0.001556
0.000666	0.001631
0.000717	0.001751
0.000768	0.002409
0.000819	-0.000235
0.000922	0.000199
0.001024	0.000193
0.001126	0.000520
0.001229	0.001296
0.001331	0.002541
0.001434	0.000910
0.001536	0.001513
0.001638	0.000543
0.001843	5.392704E-5
0.002048	-0.000336
0.002253	-0.000207
0.002458	0.000707
0.002662	-0.000175
0.002867	0.001381
0.003072	0.000350
0.003277	0.000637
